track_id,cluster_kmeans
1Lcdptd81Ii0QIQerAgpaf,0
3DZ9ppzuwJVXjXTXj4nHNw,0
6BePGk3eCan4FqaW2X8Qy3,0
7xNPZGHydFFJ77hguubOt6,0
6iK3jF4FCdDwPDDYzYjDUr,0
2prnn41CblB8B4yWACDljP,0
3DLWVhaowApIGw1JnJj6GS,0
6r7b1UHvO3fBZe7wBXWTaZ,0
2rgWhlzASxN4MKk7c3RAGP,0
3HrHhTWonBqF4mDasi8xvC,0
0aoeXzMxq1945xRbWHirrO,0
7eLTKfgiVfQTCWVtnZImau,0
59QDyqLww2pxyg9ijOPO7f,0
6sgYrldk8IdtSERq4eGZj1,0
0U6Nl4Y8uRDb0bMOoUAt9Z,0
5RCRbrma61YJJzgz1Jw6RR,0
1cQld05IcUDw3RCFt7uymW,0
3SexEc7om0q1awRqi8nCd1,0
6P88C1AqfOnQt1pAW62sOa,0
3I56dGSUvEYL96kmdCbaNx,0
3qCCQas6tIP15Yjgu3gl9S,0
4uLmZbblgrIZpVds2bXVD0,0
4w4vhxcqJ6TVdUkL5WZC2J,0
30tZsPXvOp0usNfKiJehl0,0
3xXEm1CaDo63YSIEtBHbK8,0
4ASOMWcJUrwEpjJy4GEijz,0
0CW7W5ewmxZQvPDFMC2HZ8,0
4XlxfCAfnwUg1m0ji8EefX,0
5Jpz4nv8nA6FIYO5gEyQa2,0
4d8rAz6gWPJ5Vq516k2kac,0
1U9fCIjViZNHm1HoxUpK8H,0
3E84eU4cd63CwcX7WTso1V,0
0w7JPlp7eEQI2EKW3ayXrv,0
6vQEOP9KgXITsVpFnKSbZ3,0
0hGixCXwimv4LGauR5DTds,0
3Y49zHwVMBAzaoRyCeUPX4,0
7leW1Dmvs9A4oDh9i5Qwpz,0
1ExjoMeJQxAYtHFke6eW31,0
3b5hWg2x9MoVM7wjZ3qiY6,0
4vdY9ye9zOHySs2TeopfmO,0
1mZnxNzp17JrPyzDzkoiiC,0
5TRubkfle0s3bQAPtBPQIf,0
4Vi8GFsvk4OLNDVHHiv7ZP,0
71L9EZo8OEaZINg75dBUSW,0
67vjKw6LVD5wewFuoC1215,0
2BdhXykNHYlMCK7PPxPPCc,0
4JeB0SuYYKrepgf0zOh9Jf,0
6yWHWnulzUejEZ4O6Lhthl,0
39KyQTzp1dr7jab7et2PlH,0
5bZjb7xKqLqa58QiUBcVvl,0
3mdvsFgPjsWmvdTgonIwsl,0
3m0cKFBobiuIuNDzOCQJSN,0
3qMimm5bezPaKIISP9f7mu,0
0Cs2ANiGsCOQLKnCrNJ6hA,0
5SBsYJjr5Dg09XNV6RZpUy,0
6s8jbfXU2w9CsH6Zc7KYTz,0
1c9mmc4W4lz9hKDOENHmRY,0
5yRTpH4J8vH9Rb1Nhx45JB,0
2ZuWHrPX5Qas5lQ4fqAcXS,0
03IZTk1k9NSqt2D4UXGiFS,0
5ghnBfBI0vKztvM0w7pM2K,0
18KHTRWqBsXwr70GkeJ7vA,0
7b5dRsk1AWTdJxVnexYKni,0
1TAWywmhj68rLpor3w8J0X,0
4bCGumGru7ebltucvX1KJ0,0
0022kIw06MN9tQXXA5wCjW,0
1sWnXgUIDbB2TgcjgdFzUO,0
6ciaJyxPG3OueX32rd57jA,0
5ls4FQAoSlAFPFnaYpeyhn,0
0Y6xLLpyKUxAhV71xlewmS,0
0RPR4IldJgOf9KkiwBKwR8,0
6o4BO9LLCPe5p43YKZzFuv,0
1Whq5PzDHie78rKbf88zpo,0
41cjh6IZNWgP15H34Cx4Ik,0
0BjS97PLAxyL2ba1GYRJme,0
0Xd7CMyvsN0spWDB2zbdwv,0
357iDuZ0IXAAg3Aj7UszqO,0
1hgogZbwW5AvuHiJ10t0M6,0
4FHXsehfIbyPCJLP7fCnIF,0
4x39RyOrTW6XKBjbblPvQA,0
2YKmVE24ypW7eWIuW78Lxz,0
0h8bhIOhbhzmr1qIqSGm8p,1
1pdsBkhNchpGCQTGoNQXZI,0
5IRs0dl6ssqOFfQ1EPWURn,0
0YAhoJCTBOTLfeSX5lGW5t,0
2eIQvkQiHXSfX0GSRw29gA,0
75XBTxAfYvtY8hMeUnGUHB,0
4lz9MvmbD0cDcxYy4uarlu,0
3zGIYtpMV82KRBVUEkaHSe,0
7CuKlTMris7cOXG60mym4z,0
5CjDmbV8yeto60eZsPhzgR,0
74cf4Sha0A5byOVpMO7lah,0
6CndLv8MEMaWOrO9biHQSZ,0
0XP4jb9IjvliEXDt8rK3XY,0
6qPEah5rcSL924pVoqqyTs,0
69oFt1t9JfEgmQGwVapCin,0
6mM0aIB4tIH786lKEhYqTU,0
0wIZzK1cWw1CzYGxN1Og8m,0
6Tngx2uapxEXTWF18iOcaK,0
2IIlb6hb2C5FGdTiYHShau,0
0pIiCv0GdhtsOjCJ5Y7zHj,0
4AcLJkZaXtuni8UwR06Om6,0
1PgmPuUsaUNO2E1KykdJwz,0
0k46vKaPwQ3iRb60NmfHhV,0
7wnScErlVX0Z97CitPciF1,0
7aKBYYG1XNhhh65xJjKrh5,0
